Speed (without acceleration),Angle speed,First ticks per step,Ticks per Step,Steps per Second,Max angle before gravity,Max angle before reset
2458,1,330 28 27,26.00,1.15,54850,117765
2459,2,235 28,26.00,1.15,55120,118165
2460,3,192 28,26.00,1.15,55390,118565
2461,4,167 28,26.00,1.15,55660,118965
2462,5,150 28,26.00,1.15,55930,119365
2463,6,137 27,26.00,1.15,56200,119765
2464,7,127 27,26.00,1.15,56470,120165
2465,8,119 27,26.00,1.15,56740,120565
2466,9,113 27,26.00,1.15,56990,120940
2467,10,107 27,26.00,1.15,57260,121340
2468,11,102 27 26,25.00,1.2,54530,118680
2469,12,98 27,25.00,1.2,54777,119052
2470,13,95 27,25.00,1.2,55024,119424
2471,14,91 26,25.00,1.2,55252,119772
2472,15,88 26,25.00,1.2,55499,120144
2473,16,86 26,25.00,1.2,55746,120516
2474,17,83 26,25.00,1.2,55993,120888
2475,18,81 26,25.00,1.2,56221,121236
2476,19,79 26,25.00,1.2,56468,121608
2477,20,77 26,25.00,1.2,56715,121980
2478,21,75 26,25.00,1.2,56962,122352
2479,22,74 26,25.00,1.2,57209,122724
2480,23,72 26 25,24.00,1.25,54171,119681
2481,24,71 25,24.00,1.25,54378,120003
2482,25,69 25,24.00,1.25,54603,120348
2483,26,68 25,24.00,1.25,54828,120693
2484,27,67 25,24.00,1.25,55035,121015
2485,28,66 25,24.00,1.25,55260,121360
2486,29,65 25,24.00,1.25,55485,121705
2487,30,64 25,24.00,1.25,55692,122027
2488,31,63 25,24.00,1.25,55917,122372
2489,32,62 25,24.00,1.25,56142,122717
2490,33,61 25,24.00,1.25,56349,123039
2491,34,60 25,24.00,1.25,56574,123384
2492,35,59 25,24.00,1.25,56799,123729
2493,36,58,24.00,1.25,57006,124051
2494,37,58,24.00,1.25,57231,124396
2495,38,57 24,23.00,1.3,53873,120948
2496,39,56 24,23.00,1.3,54060,121245
2497,40,56 24,23.00,1.3,54264,121564
2498,41,55 24,23.00,1.3,54451,121861
2499,42,54 24,23.00,1.3,54655,122180
2500,43,54 24,23.00,1.3,54842,122477
2501,44,53 24,23.00,1.3,55046,122796
2502,45,53 24,23.00,1.3,55233,123093
2503,46,52 24,23.00,1.3,55437,123412
2504,47,52 24,23.00,1.3,55641,123731
2505,48,51 24,23.00,1.3,55828,124028
2506,49,51 24,23.00,1.3,56032,124347
2507,50,50,23.00,1.3,56219,124644
2508,51,50,23.00,1.3,56423,124963
2509,52,49,23.00,1.3,56610,125260
2510,53,49,23.00,1.3,56814,125579
2511,54,48,23.00,1.3,57001,125876
2512,55,48,23.00,1.3,57205,126195
2513,56,48,22.50,1.33,55445,124394
2514,57,47 23,22.00,1.36,53656,122556
2515,58,47 23,22.00,1.36,53824,122829
2516,59,46 23,22.00,1.36,54008,123123
2517,60,46 23,22.00,1.36,54176,123396
2518,61,46 23,22.00,1.36,54360,123690
2519,62,45 23,22.00,1.36,54528,123963
2520,63,45 23,22.00,1.36,54696,124236
2521,64,45 23,22.00,1.36,54880,124530
2522,65,44 23,22.00,1.36,55048,124803
2523,66,44 23,22.00,1.36,55232,125097
2524,67,44 23,22.00,1.36,55400,125370
2525,68,44,22.00,1.36,55584,125664
2526,69,43,22.00,1.36,55752,125937
2527,70,43,22.00,1.36,55936,126231
2528,71,43,22.00,1.36,56104,126504
2529,72,42,22.00,1.36,56272,126777
2530,73,42,22.33,1.34,56044,117993
2531,74,42,22.33,1.34,56230,118282
2532,75,42,22.33,1.34,56422,118578
2533,76,41 22,22.50,1.33,56422,114303
2534,77,41 22,22.50,1.33,56618,114599
2535,78,41 22,22.50,1.33,56822,114907
2536,79,41 22,22.50,1.33,57010,115193
2537,80,40 22,21.00,1.43,53340,124260
2538,81,40 22,21.00,1.43,53490,124510
2539,82,40 22,21.00,1.43,53655,124780
2540,83,40 23,21.00,1.43,53805,125030
2541,84,40 23,21.00,1.43,53955,125280
2542,85,39 23,21.00,1.43,54120,125550
2543,86,39 23,21.00,1.43,54270,125800
2544,87,39 23,21.00,1.43,54420,126050
2545,88,39 23,21.00,1.43,54585,126320
2546,89,39 23,21.00,1.43,54735,126570
2547,90,38 23,21.00,1.43,54885,126820
2548,91,38,21.33,1.41,54997,118327
2549,92,38,21.33,1.41,55159,118552
2550,93,38,21.33,1.41,55327,118817
2551,94,38 21,21.50,1.4,55491,114739
2552,95,37 21,21.66,1.39,55648,110687
2553,96,37 21,21.66,1.39,55823,110953
2554,97,37 21,21.75,1.38,55890,108979
2555,98,37 21 20,22.00,1.36,56185,103005
2556,99,37 21 20,22.00,1.36,56389,103299
2557,100,37 21 20,22.00,1.36,56576,103572
2558,101,36 21 20,22.00,1.36,56763,103845
2559,102,36 20,22.00,1.36,56967,104139
2560,103,36,21.00,1.43,54871,114700
2561,104,36,21.00,1.43,55030,114951
2562,105,36,21.00,1.43,55197,115212
2563,106,36,21.00,1.43,55363,115472
2564,107,36,21.00,1.43,55522,115722
2565,108,35,21.00,1.43,55689,115982
2566,109,35,21.00,1.43,55856,116243
2567,110,35 22,20.00,1.5,53186,126546
2568,111,35 22,20.00,1.5,53319,126774
2569,112,35,20.40,1.47,53905,117024
2570,113,35,20.50,1.46,54076,114634
2571,114,35,20.60,1.46,54239,112269
2572,115,34 20,21.00,1.43,54872,102674
2573,116,34 20,21.00,1.43,55040,102924
2574,117,34 20,21.00,1.43,55224,103194
2575,118,34 20,21.00,1.43,55392,103444
2576,119,34 20 19,21.00,1.43,55560,103694
2577,120,34 20 19,21.00,1.43,55744,103964
2578,121,34 20 19,21.00,1.43,55912,104214
2579,122,34 19,21.00,1.43,56080,104464
2580,123,33 19,21.00,1.43,56264,104734
2581,124,33 19,21.00,1.43,56432,104984
2582,125,33 19,21.00,1.43,56600,105234
2583,126,33 19,21.00,1.43,56784,105504
2584,127,33 19,21.00,1.43,56952,105754
2585,128,33,20.00,1.5,54027,115540
2586,129,33,20.00,1.5,54168,115768
2587,130,33,20.00,1.5,54317,116006
2588,131,33,20.00,1.5,54458,116234
2589,132,32,20.00,1.5,54075,111520
2590,133,32,20.00,1.5,54215,111742
2591,134,32,20.00,1.5,53976,109325
2592,135,32 19,20.00,1.5,53460,102330
2593,136,32 19,20.00,1.5,53610,102558
2594,137,32 19,20.00,1.5,53760,102786
2595,138,32 19,20.00,1.5,53910,103014
2596,139,32 19,20.00,1.5,54060,103242
2597,140,31 21 19,20.00,1.5,54225,103489
2598,141,31 19,20.00,1.5,54375,103717
2599,142,31 19,20.00,1.5,54525,103945
2600,143,31 19,20.00,1.5,54675,104173
2601,144,31 19,20.00,1.5,54840,104420
2602,145,31 19,20.00,1.5,54990,104648
2603,146,31 19,20.00,1.5,55140,104876
2604,147,31 19,20.00,1.5,55290,105104
2605,148,31 19,20.00,1.5,55440,105332
2606,149,30,20.00,1.5,55605,105579
2607,150,30,20.00,1.5,55755,105807
2608,151,30,20.00,1.5,55905,106035
2609,152,30 19,20.00,1.5,56055,106263
2610,153,30 19,20.00,1.5,56220,106510
2611,154,30 19,20.00,1.5,56370,106738
2612,155,30 18,20.00,1.5,56520,106966
2613,156,30 18,20.00,1.5,56670,107194
2614,157,30 18,20.00,1.5,56820,107422
2615,158,30 18,20.00,1.5,56985,107669
2616,159,29,20.00,1.5,57135,107897
2617,160,29,20.00,1.5,57285,108125
2618,161,29,19.50,1.54,54834,105397
2619,162,29,19.33,1.55,54038,104537
2620,163,29 20,19.00,1.58,52507,102861
2621,164,29 18,19.00,1.58,52640,103068
2622,165,29 18,19.00,1.58,52773,103275
2623,166,29 18,19.00,1.58,52906,103482
2624,167,29 18,19.00,1.58,53039,103689
2625,168,29 18,19.00,1.58,53172,103896
2626,169,29 18,19.00,1.58,53305,104103
2627,170,28 20,19.00,1.58,53438,104310
2628,171,28,19.00,1.58,53571,104517
2629,172,28,19.00,1.58,53718,104742
2630,173,28,19.00,1.58,53851,104949
2631,174,28,19.00,1.58,53984,105156
2632,175,28,19.00,1.58,54117,105363
2633,176,28,19.00,1.58,54250,105570
2634,177,28,19.00,1.58,54383,105777
2635,178,28 18,19.00,1.58,54516,105984
2636,179,28 18,19.00,1.58,54649,106191
2637,180,28 18,19.00,1.58,54796,106416
2638,181,28 18,19.00,1.58,54929,106623
2639,182,27,19.00,1.58,55062,106830
2640,183,27,19.00,1.58,55195,107037
2641,184,27,19.00,1.58,55328,107244
2642,185,27,19.00,1.58,55461,107451
2643,186,27,19.00,1.58,55594,107658
2644,187,27,19.00,1.58,55727,107865
2645,188,27,19.00,1.58,55860,108072
2646,189,27,19.00,1.58,55993,108279
2647,190,27,19.00,1.58,56140,108504
2648,191,27,19.00,1.58,56273,108711
2649,192,27,19.00,1.58,56406,108918
2650,193,27 18,19.00,1.58,56539,109125
2651,194,27 18,19.00,1.58,56672,109332
2652,195,27 18,19.00,1.58,56805,109539
2653,196,26,19.00,1.58,56938,109746
2654,197,26,19.00,1.58,57071,109953
2655,198,26,19.00,1.58,57204,110160
2656,199,26,18.75,1.6,56000,108833
2657,200,26,18.50,1.62,54632,107297
2658,201,26,18.50,1.62,54757,107494
2659,202,26 19,18.00,1.67,52026,104386
2660,203,26 19,18.00,1.67,52143,104573
2661,204,26 19,18.00,1.67,52260,104760
2662,205,26 19,18.00,1.67,52377,104947
2663,206,26 19,18.00,1.67,52494,105134
2664,207,26 19,18.00,1.67,52611,105321
2665,208,26 19,18.00,1.67,52728,105508
2666,209,26,18.00,1.67,52832,105678
2667,210,26,18.00,1.67,52949,105865
2668,211,25,18.00,1.67,53066,106052
2669,212,25,18.00,1.67,53183,106239
2670,213,25,18.00,1.67,53300,106426
2671,214,25,18.00,1.67,53417,106613
2672,215,25,18.00,1.67,53534,106800
2673,216,25,18.00,1.67,53651,106987
2674,217,25,18.00,1.67,53768,107174
2675,218,25,18.00,1.67,53885,107361
2676,219,25,18.00,1.67,54002,107548
2677,220,25,18.00,1.67,54119,107735
2678,221,25,18.00,1.67,54236,107922
2679,222,25,18.00,1.67,54353,108109
2680,223,25,18.00,1.67,54470,108296
2681,224,25,18.00,1.67,54587,108483
2682,225,25,18.00,1.67,54704,108670
2683,226,25,18.00,1.67,54821,108857
2684,227,25,18.00,1.67,54938,109044
2685,228,25,18.00,1.67,55055,109231
2686,229,25,18.00,1.67,55172,109418
2687,230,25,18.00,1.67,55289,109605
2688,231,24,18.00,1.67,55406,109792
2689,232,24,18.00,1.67,55523,109979
2690,233,24,18.00,1.67,55640,110166
2691,234,24,18.00,1.67,55757,110353
2692,235,24,18.00,1.67,55874,110540
2693,236,24,18.00,1.67,55991,110727
2694,237,24,18.00,1.67,56108,110914
2695,238,24,18.00,1.67,56225,111101
