Speed (Without Acceleration),Angle Speed,Ticks per Step (First),Ticks per Step (Periodic),Ticks per Step (Average),Steps per Second,Angles Before Gravity (Average),Angles Before Reset (Average)
2458,1,"330, 28, 27",26,26.0,1.15,54850,117765
2459,2,"235, 28",26,26.0,1.15,55120,118165
2460,3,"192, 28",26,26.0,1.15,55390,118565
2461,4,"167, 28",26,26.0,1.15,55660,118965
2462,5,"150, 28",26,26.0,1.15,55930,119365
2463,6,"137, 27",26,26.0,1.15,56200,119765
2464,7,"127, 27",26,26.0,1.15,56470,120165
2465,8,"119, 27",26,26.0,1.15,56740,120565
2466,9,"113, 27",26,26.0,1.15,56990,120940
2467,10,"107, 27",26,26.0,1.15,57260,121340
2468,11,"102, 27, 26",25,25.0,1.2,54530,118680
2469,12,"98, 27",25,25.0,1.2,54777,119052
2470,13,"95, 27",25,25.0,1.2,55024,119424
2471,14,"91, 26",25,25.0,1.2,55252,119772
2472,15,"88, 26",25,25.0,1.2,55499,120144
2473,16,"86, 26",25,25.0,1.2,55746,120516
2474,17,"83, 26",25,25.0,1.2,55993,120888
2475,18,"81, 26",25,25.0,1.2,56221,121236
2476,19,"79, 26",25,25.0,1.2,56468,121608
2477,20,"77, 26",25,25.0,1.2,56715,121980
2478,21,"75, 26",25,25.0,1.2,56962,122352
2479,22,"74, 26",25,25.0,1.2,57209,122724
2480,23,"72, 26, 25",24,24.0,1.25,54171,119681
2481,24,"71, 25",24,24.0,1.25,54378,120003
2482,25,"69, 25",24,24.0,1.25,54603,120348
2483,26,"68, 25",24,24.0,1.25,54828,120693
2484,27,"67, 25",24,24.0,1.25,55035,121015
2485,28,"66, 25",24,24.0,1.25,55260,121360
2486,29,"65, 25",24,24.0,1.25,55485,121705
2487,30,"64, 25",24,24.0,1.25,55692,122027
2488,31,"63, 25",24,24.0,1.25,55917,122372
2489,32,"62, 25",24,24.0,1.25,56142,122717
2490,33,"61, 25",24,24.0,1.25,56349,123039
2491,34,"60, 25",24,24.0,1.25,56574,123384
2492,35,"59, 25",24,24.0,1.25,56799,123729
2493,36,58,24,24.0,1.25,57006,124051
2494,37,58,24,24.0,1.25,57231,124396
2495,38,"57, 24, 24",23,23.0,1.3,53873,120948
2496,39,"56, 24",23,23.0,1.3,54060,121245
2497,40,"56, 24",23,23.0,1.3,54264,121564
2498,41,"55, 24",23,23.0,1.3,54451,121861
2499,42,"54, 24",23,23.0,1.3,54655,122180
2500,43,"54, 24",23,23.0,1.3,54842,122477
2501,44,"53, 24",23,23.0,1.3,55046,122796
2502,45,"53, 24",23,23.0,1.3,55233,123093
2503,46,"52, 24",23,23.0,1.3,55437,123412
2504,47,"52, 24",23,23.0,1.3,55641,123731
2505,48,"51, 24",23,23.0,1.3,55828,124028
2506,49,"51, 24",23,23.0,1.3,56032,124347
2507,50,50,23,23.0,1.3,56219,124644
2508,51,50,23,23.0,1.3,56423,124963
2509,52,49,23,23.0,1.3,56610,125260
2510,53,49,23,23.0,1.3,56814,125579
2511,54,48,23,23.0,1.3,57001,125876
2512,55,48,23,23.0,1.3,57205,126195
2513,56,"48, 23","23, 22",22.5,1.33,55437,124385
2514,57,"47, 23",22,22.0,1.36,53656,122556
2515,58,"47, 23",22,22.0,1.36,53824,122829
2516,59,"46, 23",22,22.0,1.36,54008,123123
2517,60,"46, 23",22,22.0,1.36,54176,123396
2518,61,"46, 23",22,22.0,1.36,54360,123690
2519,62,"45, 23",22,22.0,1.36,54528,123963
2520,63,"45, 23",22,22.0,1.36,54696,124236
2521,64,"45, 23",22,22.0,1.36,54880,124530
2522,65,"44, 23",22,22.0,1.36,55048,124803
2523,66,"44, 23",22,22.0,1.36,55232,125097
2524,67,"44, 23",22,22.0,1.36,55400,125370
2525,68,44,22,22.0,1.36,55584,125664
2526,69,43,22,22.0,1.36,55752,125937
2527,70,43,22,22.0,1.36,55936,126231
2528,71,43,22,22.0,1.36,56104,126504
2529,72,42,22,22.0,1.36,56272,126777
2530,73,"42, 22","22, 21, 24",22.33,1.34,56044,117975
2531,74,42,"22, 21, 24",22.33,1.34,56230,118263
